gene	weight	beta_meta	se_meta	I2	power	penalty_het	penalty_power	penalty_final	beta_capped	cap_c	capped_flag
ENSMUSG00000104713.5	0.5273745539100293	2.636872769550146	0.04651054499235571	0.965544451374366	1	0.03445554862563405	1	0.2	2.636872769550146	3.97495376800076	FALSE
ENSMUSG00000086213.4	0.5210173866951927	2.605086933475963	0.04057540415204756	0.941862057729048	1	0.05813794227095204	1	0.2	2.605086933475963	3.97495376800076	FALSE
ENSMUSG00000143426.1	0.5194902391847211	2.5974511959236057	0.05669422975691313	0.973819147419876	1	0.026180852580124037	1	0.2	2.5974511959236057	3.97495376800076	FALSE
ENSMUSG00000032690.17	0.5152661546482787	2.5763307732413936	0.03797140345600258	0.9217560094358548	1	0.07824399056414522	1	0.2	2.5763307732413936	3.97495376800076	FALSE
ENSMUSG00000050370.6	0.5150507236917851	2.575253618458925	0.07634579544241808	0.978372715578114	1	0.021627284421885995	1	0.2	2.575253618458925	3.97495376800076	FALSE
ENSMUSG00000091649.4	0.5101266441933113	2.5506332209665565	0.03847855057507209	0.9238551185659932	1	0.07614488143400677	1	0.2	2.5506332209665565	3.97495376800076	FALSE
ENSMUSG00000085501.3	0.5075303475222109	2.5376517376110543	0.07913335473332322	0.8962402343751638	1	0.10375976562483624	1	0.2	2.5376517376110543	3.97495376800076	FALSE
ENSMUSG00000067297.6	0.5037269577346647	2.5186347886733236	0.05928960165140411	0.929914070586946	1	0.07008592941305403	1	0.2	2.5186347886733236	3.97495376800076	FALSE
ENSMUSG00000078921.4	0.5015822009292704	2.5079110046463517	0.04067520813044748	0.9653100564273436	1	0.03468994357265642	1	0.2	2.5079110046463517	3.97495376800076	FALSE
ENSMUSG00000120878.2	0.5000470868777163	2.500235434388581	0.05469258494321308	0.9740357802081492	1	0.025964219791850818	1	0.2	2.500235434388581	3.97495376800076	FALSE
ENSMUSG00000043939.17	0.49402122240046337	2.4701061120023167	0.05604453495902752	0.9565582112709378	1	0.043441788729062236	1	0.2	2.4701061120023167	3.97495376800076	FALSE
ENSMUSG00000054072.13	0.49220129198031765	2.461006459901588	0.03858346052949349	0.9582522090264286	1	0.0417477909735714	1	0.2	2.461006459901588	3.97495376800076	FALSE
ENSMUSG00000057346.13	0.48584161094139233	2.4292080547069617	0.07184264833743095	0.8747169761734588	1	0.12528302382654122	1	0.2	2.4292080547069617	3.97495376800076	FALSE
ENSMUSG00000027514.15	0.47812474076041156	2.3906237038020577	0.03258774660086568	0.9684673376662782	1	0.03153266233372176	1	0.2	2.3906237038020577	3.97495376800076	FALSE
ENSMUSG00000033355.7	0.4773060740339662	2.386530370169831	0.03767546015491734	0.9380133682976648	1	0.061986631702335204	1	0.2	2.386530370169831	3.97495376800076	FALSE
ENSMUSG00000018930.4	0.4741847321558246	2.370923660779123	0.06439689387531576	0.9763220723351236	1	0.02367792766487642	1	0.2	2.370923660779123	3.97495376800076	FALSE
