gene_id	datasets_used	k_datasets_used	beta_meta	se_meta	sum_w	k	Q	df	I2	phase	is_core	heterogeneity_flag
ENSMUSG00000069273.3	GSE167521;GSE279372;GSE279744	3	-0.27366015065606997	0.419996781082985	5.669021135785025	3	2.351605449532536	2	0.1495171945627315	anchor	FALSE	FALSE
ENSMUSG00000022022.4	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	-0.07465605351802274	0.027476608330595675	1324.566460002926	5	4.701071291783791	4	0.1491301127487845	anchor	FALSE	FALSE
ENSMUSG00000063714.18	GSE167521;GSE264344;GSE279372;GSE279744	4	-0.23936450053247166	0.04700851283048811	452.5295836523895	4	3.5251261098976805	3	0.14896661666181432	anchor	FALSE	FALSE
ENSMUSG00000027071.15	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	-0.26765334907181376	0.11337897722852856	77.79199872414083	5	4.700132143430995	4	0.14896009773034033	anchor	FALSE	FALSE
ENSMUSG00000126750.1	GSE264344;GSE279372	2	-0.3809825975464913	0.1344625171106791	55.30921902480747	2	1.1748707183765972	1	0.14884251998230796	anchor	FALSE	FALSE
ENSMUSG00000062175.14	GSE167521;GSE264344;GSE279372;GSE279744	4	0.2605942473524726	0.15226031485290498	43.13467726327238	4	3.523479120889081	3	0.1485688159142522	anchor	FALSE	FALSE
ENSMUSG00000086111.4	GSE167521;GSE264344;GSE279372;GSE279744	4	-0.5082218341973355	0.05049379653319069	392.21477389704137	4	3.521908297288132	3	0.14818906491404144	anchor	FALSE	FALSE
ENSMUSG00000085852.3	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	-0.18823836455395435	0.0544135292304995	337.7428860672826	5	4.695197762836304	4	0.14806570414114878	anchor	FALSE	FALSE
ENSMUSG00000032673.6	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	-0.14116304661682907	0.021934738899798373	2078.428369674559	5	4.694420081971882	4	0.1479245721188616	anchor	FALSE	FALSE
ENSMUSG00000073437.13	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	-0.44333573655998804	0.033996881000575574	865.210636508261	5	4.693072276914226	4	0.14767986428070365	anchor	FALSE	FALSE
