gse_id	split_id	signature_id	signature_label	baseline_delta_score	baseline_auc_secondary	imrs_delta_score	imrs_auc_secondary
GSE264344	GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad5__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	6.069467297314217	1	5.288429542245774	1
GSE264344	GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad5__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	1.4868394437948835	1	5.288429542245774	1
GSE264344	GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad26__VS=baseline_0	ISG	Interferon-stimulated genes	0.32047031536763476	0.8	0.3932971804473866	0.8
GSE264344	GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad26__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	0.43987456535722935	0.96	0.3932971804473866	0.8
GSE264344	GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad26__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	-0.1918328997106996	0.04000000000000001	0.3932971804473866	0.8
GSE264344	GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad5__VS=baseline_0	ISG	Interferon-stimulated genes	0.34585121227886045	0.8	0.4507210263939263	0.8
GSE264344	GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad5__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	0.6301490858748588	1	0.4507210263939263	0.8
GSE264344	GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad5__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	-0.09188944894294782	0.24000000000000002	0.4507210263939263	0.8
GSE264344	GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad26__VS=baseline_0	ISG	Interferon-stimulated genes	-0.1843385356595444	0.4	0.5752137463208833	1
GSE264344	GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad26__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	3.882393557986337	1	0.5752137463208833	1
GSE264344	GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad26__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	0.3625490018566382	1	0.5752137463208833	1
GSE264344	GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad5__VS=baseline_0	ISG	Interferon-stimulated genes	-0.3427698260302672	0.24	0.5210164970803043	0.96
GSE264344	GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad5__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	4.303212498701978	1	0.5210164970803043	0.96
