dataset_id	gene_id	n_contrasts_dataset	n_pass	support_in_dataset	dataset_support_flag
GSE167521	ENSMUSG00000002204.10	2	2	1	TRUE
GSE167521	ENSMUSG00000002205.17	2	0	0	FALSE
GSE167521	ENSMUSG00000002210.12	2	0	0	FALSE
GSE167521	ENSMUSG00000002221.12	2	0	0	FALSE
GSE167521	ENSMUSG00000002222.15	2	2	1	TRUE
GSE167521	ENSMUSG00000002227.16	2	2	1	TRUE
GSE167521	ENSMUSG00000002228.8	2	0	0	FALSE
GSE167521	ENSMUSG00000002233.14	2	2	1	TRUE
GSE167521	ENSMUSG00000002249.22	2	0	0	FALSE
GSE167521	ENSMUSG00000002250.17	2	0	0	FALSE
GSE167521	ENSMUSG00000002257.9	2	0	0	FALSE
GSE167521	ENSMUSG00000002265.18	2	2	1	TRUE
GSE167521	ENSMUSG00000002266.18	2	2	1	TRUE
GSE167521	ENSMUSG00000002274.15	2	0	0	FALSE
GSE167521	ENSMUSG00000002279.20	2	0	0	FALSE
GSE167521	ENSMUSG00000002280.12	2	0	0	FALSE
GSE167521	ENSMUSG00000002289.17	2	2	1	TRUE
GSE167521	ENSMUSG00000002297.17	2	2	1	TRUE
GSE167521	ENSMUSG00000002307.17	2	2	1	TRUE
GSE167521	ENSMUSG00000002308.17	2	0	0	FALSE
GSE167521	ENSMUSG00000002319.17	2	0	0	FALSE
GSE167521	ENSMUSG00000002320.16	2	0	0	FALSE
GSE167521	ENSMUSG00000002324.9	2	0	0	FALSE
GSE167521	ENSMUSG00000002325.16	2	2	1	TRUE
GSE167521	ENSMUSG00000002326.7	2	0	0	FALSE
GSE167521	ENSMUSG00000002329.8	2	0	0	FALSE
GSE167521	ENSMUSG00000002332.17	2	0	0	FALSE
GSE167521	ENSMUSG00000002341.9	2	0	0	FALSE
GSE167521	ENSMUSG00000002342.18	2	0	0	FALSE
GSE167521	ENSMUSG00000002343.12	2	2	1	TRUE
GSE167521	ENSMUSG00000002345.19	2	0	0	FALSE
GSE167521	ENSMUSG00000002346.18	2	2	1	TRUE
GSE167521	ENSMUSG00000002365.11	2	0	0	FALSE
GSE167521	ENSMUSG00000002372.10	2	0	0	FALSE
GSE167521	ENSMUSG00000002379.8	2	0	0	FALSE
GSE167521	ENSMUSG00000002384.3	2	0	0	FALSE
GSE167521	ENSMUSG00000002393.15	2	0	0	FALSE
GSE167521	ENSMUSG00000002395.15	2	0	0	FALSE
GSE167521	ENSMUSG00000002396.9	2	0	0	FALSE
GSE167521	ENSMUSG00000002409.19	2	2	1	TRUE
GSE167521	ENSMUSG00000002413.16	2	0	0	FALSE
GSE167521	ENSMUSG00000002416.14	2	0	0	FALSE
GSE167521	ENSMUSG00000002428.13	2	0	0	FALSE
GSE167521	ENSMUSG00000002455.15	2	0	0	FALSE
GSE167521	ENSMUSG00000002458.14	2	0	0	FALSE
GSE167521	ENSMUSG00000002459.18	2	2	1	TRUE
GSE167521	ENSMUSG00000002475.17	2	0	0	FALSE
GSE167521	ENSMUSG00000002477.6	2	2	1	TRUE
GSE167521	ENSMUSG00000002486.16	2	0	0	FALSE
GSE167521	ENSMUSG00000002489.17	2	0	0	FALSE
GSE167521	ENSMUSG00000002496.11	2	0	0	FALSE
GSE167521	ENSMUSG00000002500.16	2	2	1	TRUE
GSE167521	ENSMUSG00000002504.16	2	2	1	TRUE
GSE167521	ENSMUSG00000002524.18	2	0	0	FALSE
GSE167521	ENSMUSG00000002546.18	2	0	0	FALSE
GSE167521	ENSMUSG00000002550.17	2	0	0	FALSE
GSE167521	ENSMUSG00000002565.17	2	0	0	FALSE
GSE167521	ENSMUSG00000002578.19	2	0	0	FALSE
GSE167521	ENSMUSG00000002580.8	2	0	0	FALSE
GSE167521	ENSMUSG00000002588.14	2	0	0	FALSE
GSE167521	ENSMUSG00000002602.17	2	0	0	FALSE
GSE167521	ENSMUSG00000002603.16	2	2	1	TRUE
GSE167521	ENSMUSG00000002608.9	2	0	0	FALSE
GSE167521	ENSMUSG00000002617.15	2	0	0	FALSE
GSE167521	ENSMUSG00000002625.11	2	2	1	TRUE
GSE167521	ENSMUSG00000002633.5	2	2	1	TRUE
GSE167521	ENSMUSG00000002635.12	2	0	0	FALSE
GSE167521	ENSMUSG00000002658.10	2	2	1	TRUE
GSE167521	ENSMUSG00000002660.9	2	0	0	FALSE
GSE167521	ENSMUSG00000002661.15	2	0	0	FALSE
GSE167521	ENSMUSG00000002664.3	2	0	0	FALSE
GSE167521	ENSMUSG00000002668.9	2	0	0	FALSE
GSE167521	ENSMUSG00000002679.15	2	0	0	FALSE
GSE167521	ENSMUSG00000002688.9	2	0	0	FALSE
GSE167521	ENSMUSG00000002699.14	2	2	1	TRUE
GSE167521	ENSMUSG00000002718.15	2	0	0	FALSE
GSE167521	ENSMUSG00000002728.15	2	2	1	TRUE
GSE167521	ENSMUSG00000002731.7	2	0	0	FALSE
GSE167521	ENSMUSG00000002732.15	2	0	0	FALSE
GSE167521	ENSMUSG00000002733.9	2	0	0	FALSE
GSE167521	ENSMUSG00000002741.10	2	0	0	FALSE
GSE167521	ENSMUSG00000002748.8	2	0	0	FALSE
GSE167521	ENSMUSG00000002763.17	2	0	0	FALSE
GSE167521	ENSMUSG00000002767.14	2	0	0	FALSE
GSE167521	ENSMUSG00000002768.9	2	0	0	FALSE
GSE167521	ENSMUSG00000002769.10	2	0	0	FALSE
GSE167521	ENSMUSG00000002771.13	2	0	0	FALSE
GSE167521	ENSMUSG00000002778.15	2	0	0	FALSE
GSE167521	ENSMUSG00000002781.20	2	0	0	FALSE
GSE167521	ENSMUSG00000002797.10	2	0	0	FALSE
GSE167521	ENSMUSG00000002799.7	2	0	0	FALSE
GSE167521	ENSMUSG00000002803.15	2	0	0	FALSE
GSE167521	ENSMUSG00000002804.5	2	0	0	FALSE
