gene_id	SRR518631	SRR518632	SRR518633	SRR518634	SRR518635	SRR518636
ENSMUSG00002074912.1	0	0	0	0	0	0
ENSMUSG00000128221.1	0	0	0	0	0	0
ENSMUSG00000099257.3	0	0	0	0	0	0
ENSMUSG00000099492.2	2	3	5	3	1	4
ENSMUSG00000123191.1	0	0	0	0	0	0
ENSMUSG00000101726.2	0	0	0	0	0	0
ENSMUSG00002075317.1	0	0	0	0	0	0
ENSMUSG00000127937.1	0	0	0	0	0	0
ENSMUSG00002075289.1	0	0	0	0	0	0
ENSMUSG00000124992.1	0	0	0	0	0	0
ENSMUSG00000125037.1	0	0	0	0	0	0
