sample_id	group	tissue	timepoint_hr	batch
SRR28740284	delivery_ad5	Blood	3	NA
SRR28740285	delivery_ad5	Blood	3	NA
SRR28740286	delivery_ad26	Blood	3	NA
SRR28740287	delivery_ad26	Blood	3	NA
SRR28740288	delivery_ad26	Blood	3	NA
SRR28740289	delivery_ad26	Blood	3	NA
SRR28740290	delivery_ad26	Blood	3	NA
SRR28740291	delivery_ad5	Muscle	1	NA
SRR28740292	delivery_ad5	Muscle	1	NA
SRR28740293	delivery_ad5	Muscle	1	NA
SRR28740294	delivery_ad5	Muscle	1	NA
SRR28740295	delivery_ad5	Muscle	1	NA
SRR28740296	delivery_ad26	Muscle	1	NA
SRR28740297	delivery_ad26	Muscle	1	NA
SRR28740298	delivery_ad26	Muscle	1	NA
SRR28740299	delivery_ad26	Muscle	1	NA
SRR28740300	delivery_ad26	Muscle	1	NA
SRR28740301	delivery_ad5	Blood	1	NA
SRR28740302	delivery_ad5	Blood	1	NA
SRR28740303	delivery_ad5	Blood	1	NA
SRR28740304	delivery_ad5	Blood	1	NA
SRR28740305	delivery_ad5	Blood	1	NA
SRR28740306	delivery_ad26	Blood	1	NA
SRR28740307	delivery_ad26	Blood	1	NA
SRR28740308	delivery_ad26	Blood	1	NA
SRR28740309	delivery_ad26	Blood	1	NA
SRR28740310	delivery_ad26	Blood	1	NA
