Database	Term ID	Term name	Overlap count	Tested-gene denominator	Background term count	Background denominator	Gene ratio	Background ratio	Nominal p-value	Adjusted p-value (FDR)	q-value	Mapped retained genes
GO Biological Process	GO:0002883	regulation of hypersensitivity	3	241	30	18659	0.012448132780082987	0.0016078032048877217	0.0066792427986005	0.0387244281346138	0.029880823046371	Fcgr1;H2-T22;H2-T10
GO Biological Process	GO:0010800	positive regulation of peptidyl-threonine phosphorylation	3	241	30	18659	0.012448132780082987	0.0016078032048877217	0.0066792427986005	0.0387244281346138	0.029880823046371	Igtp;Irgm2;Irgm1
GO Biological Process	GO:0019730	antimicrobial humoral response	6	241	130	18659	0.024896265560165973	0.006967147221180128	0.0068866491006859	0.0398363760903625	0.0307388323625319	Acod1;Cxcl10;Cxcl9;S100a9;H2-T22;H2-T10
GO Biological Process	GO:0006196	AMP catabolic process	2	241	10	18659	0.008298755186721992	0.0005359344016292406	0.0069822831308318	0.0398474368383714	0.0307473671368316	Pnp;Xdh
GO Biological Process	GO:0032661	regulation of interleukin-18 production	2	241	10	18659	0.008298755186721992	0.0005359344016292406	0.0069822831308318	0.0398474368383714	0.0307473671368316	Gbp5;Tlr9
GO Biological Process	GO:0034163	regulation of toll-like receptor 9 signaling pathway	2	241	10	18659	0.008298755186721992	0.0005359344016292406	0.0069822831308318	0.0398474368383714	0.0307473671368316	Rsad2;Tlr9
GO Biological Process	GO:0035726	common myeloid progenitor cell proliferation	2	241	10	18659	0.008298755186721992	0.0005359344016292406	0.0069822831308318	0.0398474368383714	0.0307473671368316	Nr4a3;Samd9l
GO Biological Process	GO:0046055	dGMP catabolic process	2	241	10	18659	0.008298755186721992	0.0005359344016292406	0.0069822831308318	0.0398474368383714	0.0307473671368316	Pnp;Xdh
GO Biological Process	GO:0046130	purine ribonucleoside catabolic process	2	241	10	18659	0.008298755186721992	0.0005359344016292406	0.0069822831308318	0.0398474368383714	0.0307473671368316	Pnp;Xdh
GO Biological Process	GO:0032651	regulation of interleukin-1 beta production	5	241	93	18659	0.02074688796680498	0.004984189935151938	0.0071350945181181	0.0406286297225878	0.0313501568347765	Lilrb4b;Gbp5;Casp4;Pml;Myd88
GO Biological Process	GO:0002484	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway	3	241	31	18659	0.012448132780082987	0.0016613966450506458	0.0073253083010198	0.0414342826516664	0.0319718205692777	H2-T24;H2-T22;H2-T10
GO Biological Process	GO:0090025	regulation of monocyte chemotaxis	3	241	31	18659	0.012448132780082987	0.0016613966450506458	0.0073253083010198	0.0414342826516664	0.0319718205692777	Cxcl10;Ccl2;Fpr2
GO Biological Process	GO:1903146	regulation of autophagy of mitochondrion	3	241	31	18659	0.012448132780082987	0.0016613966450506458	0.0073253083010198	0.0414342826516664	0.0319718205692777	Igtp;Irgm2;Irgm1
GO Biological Process	GO:0042326	negative regulation of phosphorylation	11	241	362	18659	0.04564315352697095	0.01940082533897851	0.0076382865372687	0.0431090021163112	0.0332640797035227	Socs1;Lilrb4b;Slfn1;Daxx;Parp14;Socs3;Gbp4;Cdkn1a;Xdh;Adar;Irf1
GO Biological Process	GO:0050672	negative regulation of lymphocyte proliferation	5	241	95	18659	0.02074688796680498	0.005091376815477786	0.0077920467533261	0.0438797158228147	0.0338587833826419	Tarm1;Lilrb4b;Slfn1;Cd274;Lgals9
GO Biological Process	GO:0046632	alpha-beta T cell differentiation	6	241	134	18659	0.024896265560165973	0.007181520981831824	0.0079463294367152	0.0446499700287681	0.0344531324986265	Rsad2;Socs1;Igtp;Lilrb4b;Pnp;Irf1
GO Biological Process	GO:0001787	natural killer cell proliferation	3	241	32	18659	0.012448132780082987	0.00171499008521357	0.0080071063400751	0.0447941409507275	0.0345643787071573	H2-T22;Il15;H2-T10
GO Biological Process	GO:0002476	antigen processing and presentation of endogenous peptide antigen via MHC class Ib	3	241	32	18659	0.012448132780082987	0.00171499008521357	0.0080071063400751	0.0447941409507275	0.0345643787071573	H2-T24;H2-T22;H2-T10
GO Biological Process	GO:0018108	peptidyl-tyrosine phosphorylation	10	241	315	18659	0.04149377593360996	0.01688193365132108	0.0080528994012933	0.0449517426098455	0.0346859884381403	Socs1;Lilrb4b;Parp9;Parp14;Il12rb1;Socs3;Nrg1;Irf1;Il15;Hck
GO Biological Process	GO:0032945	negative regulation of mononuclear cell proliferation	5	241	96	18659	0.02074688796680498	0.00514497025564071	0.0081357969653595	0.0453153232721228	0.0349665371758731	Tarm1;Lilrb4b;Slfn1;Cd274;Lgals9
GO Biological Process	GO:0018212	peptidyl-tyrosine modification	10	241	317	18659	0.04149377593360996	0.016989120531646928	0.0083992240530817	0.0466763318793666	0.0360167284715656	Socs1;Lilrb4b;Parp9;Parp14;Il12rb1;Socs3;Nrg1;Irf1;Il15;Hck
GO Biological Process	GO:0002645	positive regulation of tolerance induction	2	241	11	18659	0.008298755186721992	0.0005895278417921647	0.008461629489789	0.0466763318793666	0.0360167284715656	Lilrb4b;Cd274
GO Biological Process	GO:0009172	purine deoxyribonucleoside monophosphate catabolic process	2	241	11	18659	0.008298755186721992	0.0005895278417921647	0.008461629489789	0.0466763318793666	0.0360167284715656	Pnp;Xdh
GO Biological Process	GO:0009215	purine deoxyribonucleoside triphosphate metabolic process	2	241	11	18659	0.008298755186721992	0.0005895278417921647	0.008461629489789	0.0466763318793666	0.0360167284715656	Pnp;Samhd1
GO Biological Process	GO:0031343	positive regulation of cell killing	5	241	97	18659	0.02074688796680498	0.005198563695803633	0.0084899325723348	0.0466763318793666	0.0360167284715656	Ccl2;H2-T24;Pnp;H2-T22;H2-T10
GO Biological Process	GO:1901874	negative regulation of post-translational protein modification	5	241	97	18659	0.02074688796680498	0.005198563695803633	0.0084899325723348	0.0466763318793666	0.0360167284715656	Isg15;Gbp4;Dtx3l;Parp10;Trim21
GO Biological Process	GO:0002323	natural killer cell activation involved in immune response	3	241	33	18659	0.012448132780082987	0.0017685835253764938	0.0087250653824796	0.0475590636553538	0.0366978683428631	Fcgr4;Lgals9;Stx11
GO Biological Process	GO:0002428	antigen processing and presentation of peptide antigen via MHC class Ib	3	241	33	18659	0.012448132780082987	0.0017685835253764938	0.0087250653824796	0.0475590636553538	0.0366978683428631	H2-T24;H2-T22;H2-T10
GO Biological Process	GO:0002524	hypersensitivity	3	241	33	18659	0.012448132780082987	0.0017685835253764938	0.0087250653824796	0.0475590636553538	0.0366978683428631	Fcgr1;H2-T22;H2-T10
GO Biological Process	GO:0071353	cellular response to interleukin-4	3	241	33	18659	0.012448132780082987	0.0017685835253764938	0.0087250653824796	0.0475590636553538	0.0366978683428631	Parp14;Cd300lf;Pml
GO Biological Process	GO:0045620	negative regulation of lymphocyte differentiation	4	241	63	18659	0.016597510373443983	0.0033763867302642157	0.0089148247254772	0.0484898035707727	0.0374160526015989	Socs1;Lilrb4b;Fgl2;Irf1
Reactome	R-MMU-1169408	ISG15 antiviral mechanism	9	101	28	8124	0.0891089108910891	0.0034465780403741997	2.8067765039886283e-11	8.869413752604066e-09	6.4112684354266565e-09	Mx2;Isg15;Usp18;Ifit1bl2;Eif2ak2;Rigi;Ube2l6;Trim25;Uba7
