Dataset	Split identifier	Manuscript analysis group	Biological system or tissue	Timepoint (h)	Delivery group	Control group	Delivery platform or modality	Number of delivery samples	Number of control samples	Mean delivery-minus-control delta IMRSz	Median delivery-minus-control delta IMRSz	AUC (secondary)	Cohen d	Two-sample t-test p-value	Direction	Scoring status	Inferential-statistic status	Biological-context note
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00110503__VS=baseline_0	Locked anchor	draining lymph nodes	24	delivery 250 g alum 5 g gi 1 gii 4 vlp injected	baseline 0	vaccine formulation / LNP or alum/VLP depending split	4	4	0.4684414966881426	0.1472067121246867	0.6875	0.4052406453983291	0.588668516326968	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00110754__VS=baseline_0	Locked anchor	draining lymph nodes	24	delivery 125 g lnps 5 g gi 1 gii 4 vlp injected	baseline 0	vaccine formulation / LNP or alum/VLP depending split	4	4	22.534933511125143	23.168164569646606	1.0	14.238733212391644	1.6517513009066364e-05	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00114748__VS=baseline_0	Locked anchor	draining lymph nodes	24	delivery 1000 g lnps 5 g gi 1 gii 4 vlp injected	baseline 0	vaccine formulation / LNP or alum/VLP depending split	4	4	28.73023370273408	28.491222925503507	1.0	25.815223005313523	4.6085973608927533e-08	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_1000_g_lnps_injected__VS=baseline_0	Locked anchor	draining lymph nodes	24	delivery 1000 g lnps injected	baseline 0	vaccine formulation / LNP or alum/VLP depending split	4	4	28.28118495443752	28.137822654580727	1.0	28.38351897621088	1.599205496059696e-08	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_250_g_alum_injected__VS=baseline_0	Locked anchor	draining lymph nodes	24	delivery 250 g alum injected	baseline 0	vaccine formulation / LNP or alum/VLP depending split	4	4	-0.521111432394882	-0.6335905499235527	0.3125	-0.6672987860119328	0.3957319477605407	Negative	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_5_g_gi_1_gii_4_vlp__VS=baseline_0	Locked anchor	draining lymph nodes	24	delivery 5 g gi 1 gii 4 vlp	baseline 0	vaccine formulation / LNP or alum/VLP depending split	4	4	2.562748652650221	2.106860660352268	1.0	3.061271087450826	0.0072537186680019	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE279744	GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_sm102__VS=baseline_0	Locked anchor	lymph node	6	delivery vaccination with sm102	baseline 0	mRNA lipid nanoparticle vaccine	3	3	56.61527045924109	56.09272429534244	1.0	29.300818348701345	0.00013945975727329226	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE279744	GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_ssop__VS=baseline_0	Locked anchor	lymph node	6	delivery vaccination with ssop	baseline 0	mRNA lipid nanoparticle vaccine	3	3	13.680287410826422	13.173359215528109	1.0	10.866750708017287	0.0003894202736980155	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE39129	GSE39129_design__T=liver__H=4__B=NA__G=delivery_lentiviral_vector_lv__VS=delivery_none	Locked anchor	liver	4	delivery lentiviral vector lv	delivery none	lentiviral vector	3	3	34.722530908038976	36.41897720381757	1.0	14.368417722132754	0.0014389826832699	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00069418__VS=WT_uninfected_whole_liver	Primary acute validation	whole liver	4	WT virus plus rh9C12 H433A whole liver	WT uninfected whole liver	adenoviral vector / virus-antibody perturbation	4	4	11.160680267451342	11.279000237767624	1.0	10.877982494157214	1.3394018936545914e-05	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Independent primary acute-validation contrast; nested within the source dataset.
